"","Gene","No..isolates"
"1","group_1171",5
"2","group_121",2
"3","group_2092",17
"4","group_2331",6
"5","group_2336",14
"6","group_2338",5
"7","group_2339",16
"8","group_2340",16
"9","group_2341",18
"10","group_2344",4
"11","group_2345",5
"12","group_2346",6
"13","group_2348",4
"14","group_2349",10
"15","group_2350",5
"16","group_2351",4
"17","group_2352",4
"18","group_2353",6
"19","group_2354",4
"20","group_2355",9
"21","group_2356",4
"22","group_2357",1
"23","group_2360",5
"24","group_2362",5
"25","group_2365",2
"26","group_635",9
"27","PE_PGRS53",4
"28","PPE18",11
"29","recC_1",11
